time_stamp,info,Epochs,Learning Rate,hidden_layer_dimension,num_layers,Model,accuracy,precision,recall,F1,model_directory,triples_path,entities_labels_path,properties_labels_path,graph_embeddings_path
2023:08:10 11:51:31,Task: multiclass node type prediction using input embeddings from labels and comments,1000,0.01,256,3,"GCN(
  (layers): ModuleList(
    (0): GCNConv(768, 256)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(256, 256)
    (4): ReLU()
    (5): Dropout(p=0.2, inplace=False)
    (6): GCNConv(256, 105)
  )
)",87.22%,,,,./core/experiments/multi_class_classification/results\20230810110230,./data/source_data/VAD_triples.csv,./data/source_data/VAD_entities.csv,./data/source_data/VAD_properties.csv,./data/graph_embeddings
2023:08:10 15:43:40,Task: multiclass node type prediction using input embeddings from labels,1000,0.01,256,3,"GCN(
  (layers): ModuleList(
    (0): GCNConv(768, 256)
    (1): ReLU()
    (2): Dropout(p=0.2, inplace=False)
    (3): GCNConv(256, 256)
    (4): ReLU()
    (5): Dropout(p=0.2, inplace=False)
    (6): GCNConv(256, 105)
  )
)",85.40%,,,,./core/experiments/multi_class_classification/results\20230810145742,./data/source_data/VAD_triples.csv,./data/source_data/VAD_entities.csv,./data/source_data/VAD_properties.csv,./data/graph_embeddings
